==3982214== Memcheck, a memory error detector
Loss après 46 epochs: 0.471087 (epsilon=0.01)
Loss après 47 epochs: 0.469406 (epsilon=0.01)
Loss après 48 epochs: 0.467760 (epsilon=0.01)
Loss après 49 epochs: 0.466148 (epsilon=0.01)
Loss après 50 epochs: 0.464568 (epsilon=0.01)
Loss après 51 epochs: 0.463020 (epsilon=0.01)
Loss après 52 epochs: 0.461502 (epsilon=0.01)
Loss après 53 epochs: 0.460015 (epsilon=0.01)
Loss après 54 epochs: 0.458557 (epsilon=0.01)
Loss après 55 epochs: 0.457127 (epsilon=0.01)
Loss après 56 epochs: 0.455724 (epsilon=0.01)
Loss après 57 epochs: 0.454349 (epsilon=0.01)
Loss après 58 epochs: 0.452999 (epsilon=0.01)
Loss après 59 epochs: 0.451675 (epsilon=0.01)
Loss après 60 epochs: 0.450376 (epsilon=0.01)
Loss après 61 epochs: 0.449100 (epsilon=0.01)
Loss après 62 epochs: 0.447849 (epsilon=0.01)
Loss après 63 epochs: 0.446620 (epsilon=0.01)
Loss après 64 epochs: 0.445413 (epsilon=0.01)
Loss après 65 epochs: 0.444228 (epsilon=0.01)
Loss après 66 epochs: 0.443064 (epsilon=0.01)
Loss après 67 epochs: 0.441921 (epsilon=0.01)
Loss après 68 epochs: 0.440798 (epsilon=0.01)
Loss après 69 epochs: 0.439695 (epsilon=0.01)
Loss après 70 epochs: 0.438610 (epsilon=0.01)
Loss après 71 epochs: 0.437545 (epsilon=0.01)
Loss après 72 epochs: 0.436497 (epsilon=0.01)
Loss après 73 epochs: 0.435467 (epsilon=0.01)
Loss après 74 epochs: 0.434455 (epsilon=0.01)
Loss après 75 epochs: 0.433459 (epsilon=0.01)
Loss après 76 epochs: 0.432480 (epsilon=0.01)
Loss après 77 epochs: 0.431516 (epsilon=0.01)
Loss après 78 epochs: 0.430569 (epsilon=0.01)
Loss après 79 epochs: 0.429637 (epsilon=0.01)
Loss après 80 epochs: 0.428720 (epsilon=0.01)
Loss après 81 epochs: 0.427817 (epsilon=0.01)
Loss après 82 epochs: 0.426929 (epsilon=0.01)
Loss après 83 epochs: 0.426055 (epsilon=0.01)
Loss après 84 epochs: 0.425194 (epsilon=0.01)
Loss après 85 epochs: 0.424347 (epsilon=0.01)
Loss après 86 epochs: 0.423513 (epsilon=0.01)
Loss après 87 epochs: 0.422691 (epsilon=0.01)
Loss après 88 epochs: 0.421882 (epsilon=0.01)
Loss après 89 epochs: 0.421085 (epsilon=0.01)
Loss après 90 epochs: 0.420300 (epsilon=0.01)
Loss après 91 epochs: 0.419526 (epsilon=0.01)
Loss après 92 epochs: 0.418764 (epsilon=0.01)
Loss après 93 epochs: 0.418013 (epsilon=0.01)
Loss après 94 epochs: 0.417273 (epsilon=0.01)
Loss après 95 epochs: 0.416544 (epsilon=0.01)
Loss après 96 epochs: 0.415825 (epsilon=0.01)
Loss après 97 epochs: 0.415116 (epsilon=0.01)
Loss après 98 epochs: 0.414418 (epsilon=0.01)
Loss après 99 epochs: 0.413729 (epsilon=0.01)
Loss après 100 epochs: 0.413049 (epsilon=0.01)
Loss après 101 epochs: 0.412379 (epsilon=0.01)
Loss après 102 epochs: 0.411719 (epsilon=0.01)
Loss après 103 epochs: 0.411067 (epsilon=0.01)
Loss après 104 epochs: 0.410424 (epsilon=0.01)
Loss après 105 epochs: 0.409789 (epsilon=0.01)
Loss après 106 epochs: 0.409163 (epsilon=0.01)
Loss après 107 epochs: 0.408546 (epsilon=0.01)
Loss après 108 epochs: 0.407936 (epsilon=0.01)
Loss après 109 epochs: 0.407335 (epsilon=0.01)
Loss après 110 epochs: 0.406741 (epsilon=0.01)
Loss après 111 epochs: 0.406155 (epsilon=0.01)
Loss après 112 epochs: 0.405576 (epsilon=0.01)
Loss après 113 epochs: 0.405005 (epsilon=0.01)
Loss après 114 epochs: 0.404441 (epsilon=0.01)
Loss après 115 epochs: 0.403884 (epsilon=0.01)
Loss après 116 epochs: 0.403334 (epsilon=0.01)
Loss après 117 epochs: 0.402791 (epsilon=0.01)
Loss après 118 epochs: 0.402255 (epsilon=0.01)
Loss après 119 epochs: 0.401725 (epsilon=0.01)
Loss après 120 epochs: 0.401201 (epsilon=0.01)
Loss après 121 epochs: 0.400684 (epsilon=0.01)
Loss après 122 epochs: 0.400173 (epsilon=0.01)
Loss après 123 epochs: 0.399668 (epsilon=0.01)
Loss après 124 epochs: 0.399169 (epsilon=0.01)
Loss après 125 epochs: 0.398676 (epsilon=0.01)
Loss après 126 epochs: 0.398189 (epsilon=0.01)
Loss après 127 epochs: 0.397707 (epsilon=0.01)
Loss après 128 epochs: 0.397231 (epsilon=0.01)
Loss après 129 epochs: 0.396760 (epsilon=0.01)
Loss après 130 epochs: 0.396295 (epsilon=0.01)
Loss après 131 epochs: 0.395834 (epsilon=0.01)
Loss après 132 epochs: 0.395380 (epsilon=0.01)
Loss après 133 epochs: 0.394930 (epsilon=0.01)
Loss après 134 epochs: 0.394485 (epsilon=0.01)
Loss après 135 epochs: 0.394045 (epsilon=0.01)
Loss après 136 epochs: 0.393610 (epsilon=0.01)
Loss après 137 epochs: 0.393179 (epsilon=0.01)
Loss après 138 epochs: 0.392754 (epsilon=0.01)
Loss après 139 epochs: 0.392332 (epsilon=0.01)
Loss après 140 epochs: 0.391916 (epsilon=0.01)
Loss après 141 epochs: 0.391503 (epsilon=0.01)
Loss après 142 epochs: 0.391095 (epsilon=0.01)
Loss après 143 epochs: 0.390692 (epsilon=0.01)
Loss après 144 epochs: 0.390292 (epsilon=0.01)
Loss après 145 epochs: 0.389897 (epsilon=0.01)
Loss après 146 epochs: 0.389506 (epsilon=0.01)
Loss après 147 epochs: 0.389119 (epsilon=0.01)
Loss après 148 epochs: 0.388735 (epsilon=0.01)
Loss après 149 epochs: 0.388356 (epsilon=0.01)
Loss après 150 epochs: 0.387980 (epsilon=0.01)
Loss après 151 epochs: 0.387609 (epsilon=0.01)
Loss après 152 epochs: 0.387240 (epsilon=0.01)
Loss après 153 epochs: 0.386876 (epsilon=0.01)
Loss après 154 epochs: 0.386515 (epsilon=0.01)
Loss après 155 epochs: 0.386158 (epsilon=0.01)
Loss après 156 epochs: 0.385804 (epsilon=0.01)
Loss après 157 epochs: 0.385453 (epsilon=0.01)
Loss après 158 epochs: 0.385106 (epsilon=0.01)
Loss après 159 epochs: 0.384762 (epsilon=0.01)
Loss après 160 epochs: 0.384422 (epsilon=0.01)
Loss après 161 epochs: 0.384084 (epsilon=0.01)
Loss après 162 epochs: 0.383750 (epsilon=0.01)
Loss après 163 epochs: 0.383419 (epsilon=0.01)
Loss après 164 epochs: 0.383091 (epsilon=0.01)
Loss après 165 epochs: 0.382766 (epsilon=0.01)
Loss après 166 epochs: 0.382444 (epsilon=0.01)
Loss après 167 epochs: 0.382125 (epsilon=0.01)
Loss après 168 epochs: 0.381809 (epsilon=0.01)
Loss après 169 epochs: 0.381496 (epsilon=0.01)
Loss après 170 epochs: 0.381185 (epsilon=0.01)
Loss après 171 epochs: 0.380878 (epsilon=0.01)
Loss après 172 epochs: 0.380573 (epsilon=0.01)
Loss après 173 epochs: 0.380270 (epsilon=0.01)
Loss après 174 epochs: 0.379971 (epsilon=0.01)
Loss après 175 epochs: 0.379674 (epsilon=0.01)
Loss après 176 epochs: 0.379379 (epsilon=0.01)
Loss après 177 epochs: 0.379087 (epsilon=0.01)
Loss après 178 epochs: 0.378798 (epsilon=0.01)
Loss après 179 epochs: 0.378511 (epsilon=0.01)
Loss après 180 epochs: 0.378227 (epsilon=0.01)
Loss après 181 epochs: 0.377945 (epsilon=0.01)
Loss après 182 epochs: 0.377665 (epsilon=0.01)
Loss après 183 epochs: 0.377388 (epsilon=0.01)
Loss après 184 epochs: 0.377113 (epsilon=0.01)
Loss après 185 epochs: 0.376840 (epsilon=0.01)
Loss après 186 epochs: 0.376570 (epsilon=0.01)
Loss après 187 epochs: 0.376301 (epsilon=0.01)
Loss après 188 epochs: 0.376035 (epsilon=0.01)
Loss après 189 epochs: 0.375771 (epsilon=0.01)
Loss après 190 epochs: 0.375510 (epsilon=0.01)
Loss après 191 epochs: 0.375250 (epsilon=0.01)
Loss après 192 epochs: 0.374992 (epsilon=0.01)
Loss après 193 epochs: 0.374737 (epsilon=0.01)
Loss après 194 epochs: 0.374484 (epsilon=0.01)
Loss après 195 epochs: 0.374232 (epsilon=0.01)
Loss après 196 epochs: 0.373983 (epsilon=0.01)
Loss après 197 epochs: 0.373735 (epsilon=0.01)
Loss après 198 epochs: 0.373489 (epsilon=0.01)
Loss après 199 epochs: 0.373246 (epsilon=0.01)
Poids sauvegardés dans output/W1.txt, output/b1.txt, output/W2.txt, output/b2.txt
==3982214== 
==3982214== HEAP SUMMARY:
==3982214==     in use at exit: 0 bytes in 0 blocks
==3982214==   total heap usage: 4,821 allocs, 4,821 frees, 9,837,768 bytes allocated
==3982214== 
==3982214== All heap blocks were freed -- no leaks are possible
==3982214== 
==3982214== For lists of detected and suppressed errors, rerun with: -s
==3982214== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)
